OBS.;TOWN;TOWN#;TRACT;LON;LAT;MEDV;CMEDV;CRIM;ZN;INDUS;CHAS;NOX;RM;AGE;DIS;RAD;TAX;PTRATIO;B;LSTAT
19;Lynn;4;2056;-70.992.500;42.282.500;20.2;20.2;0.80271;0.0;8.14;0;0.538;5.456;36.6;37.965;4;307;21.0;288.99;11.69
20;Lynn;4;2057;-70.988.000;42.277.600;18.2;18.2;0.72580;0.0;8.14;0;0.538;5.727;69.5;37.965;4;307;21.0;390.95;11.28
21;Lynn;4;2058;-70.983.500;42.277.000;13.6;13.6;125.179;0.0;8.14;0;0.538;5.570;98.1;37.979;4;307;21.0;376.57;21.02
22;Lynn;4;2059;-70.982.000;42.281.000;19.6;19.6;0.85204;0.0;8.14;0;0.538;5.965;89.2;40.123;4;307;21.0;392.53;13.83
23;Lynn;4;2060;-70.977.500;42.279.000;15.2;15.2;123.247;0.0;8.14;0;0.538;6.142;91.7;39.769;4;307;21.0;396.90;18.72
24;Lynn;4;2061;-70.973.000;42.279.000;14.5;14.5;0.98843;0.0;8.14;0;0.538;5.813;100.0;40.952;4;307;21.0;394.54;19.88
25;Lynn;4;2062;-70.969.300;42.281.600;15.6;15.6;0.75026;0.0;8.14;0;0.538;5.924;94.1;43.996;4;307;21.0;394.33;16.30
26;Lynn;4;2063;-70.964.000;42.284.000;13.9;13.9;0.84054;0.0;8.14;0;0.538;5.599;85.7;44.546;4;307;21.0;303.42;16.51
27;Lynn;4;2064;-70.959.700;42.287.000;16.6;16.6;0.67191;0.0;8.14;0;0.538;5.813;90.3;46.820;4;307;21.0;376.88;14.81
28;Lynn;4;2065;-70.959.700;42.282.500;14.8;14.8;0.95577;0.0;8.14;0;0.538;6.047;88.8;44.534;4;307;21.0;306.38;17.28
29;Lynn;4;2066;-70.957.000;42.280.000;18.4;18.4;0.77299;0.0;8.14;0;0.538;6.495;94.4;44.547;4;307;21.0;387.94;12.80
30;Lynn;4;2067;-70.951.000;42.278.000;21.0;21.0;100.245;0.0;8.14;0;0.538;6.674;87.3;42.390;4;307;21.0;380.23;11.98
31;Lynn;4;2068;-70.967.000;42.279.000;12.7;12.7;113.081;0.0;8.14;0;0.538;5.713;94.1;42.330;4;307;21.0;360.17;22.60
32;Lynn;4;2069;-70.964.000;42.276.500;14.5;14.5;135.472;0.0;8.14;0;0.538;6.072;100.0;41.750;4;307;21.0;376.73;13.04
33;Lynn;4;2070;-70.972.000;42.276.500;13.2;13.2;138.799;0.0;8.14;0;0.538;5.950;82.0;39.900;4;307;21.0;232.60;27.71
34;Lynn;4;2071;-70.979.500;42.276.000;13.1;13.1;115.172;0.0;8.14;0;0.538;5.701;95.0;37.872;4;307;21.0;358.77;18.35
35;Lynn;4;2072;-70.977.500;42.272.000;13.5;13.5;161.282;0.0;8.14;0;0.538;6.096;96.9;37.598;4;307;21.0;248.31;20.34
36;Sargus;5;2081;-71.000.000;42.270.000;18.9;18.9;0.06417;0.0;5.96;0;0.499;5.933;68.2;33.603;5;279;19.2;396.90;9.68
37;Sargus;5;2082;-71.008.000;42.274.500;20.0;20.0;0.09744;0.0;5.96;0;0.499;5.841;61.4;33.779;5;279;19.2;377.56;11.41
38;Sargus;5;2083;-71.004.000;42.286.500;21.0;21.0;0.08014;0.0;5.96;0;0.499;5.850;41.5;39.342;5;279;19.2;396.90;8.77
39;Sargus;5;2084;-71.020.000;42.287.500;24.7;24.2;0.17505;0.0;5.96;0;0.499;5.966;30.2;38.473;5;279;19.2;393.43;10.13
40;Lynnfield;6;2091;-71.013.000;42.313.000;30.8;30.8;0.02763;75.0;2.95;0;0.428;6.595;21.8;54.011;3;252;18.3;395.63;4.32
41;Lynnfield;6;2092;-71.030.000;42.324.000;34.9;34.9;0.03359;75.0;2.95;0;0.428;7.024;15.8;54.011;3;252;18.3;395.62;1.98
42;Peabody;7;2101;-71.004.000;42.335.000;26.6;26.6;0.12744;0.0;6.91;0;0.448;6.770;2.9;57.209;3;233;17.9;385.41;4.84
43;Peabody;7;2102;-71.003.000;42.323.500;25.3;25.3;0.14150;0.0;6.91;0;0.448;6.169;6.6;57.209;3;233;17.9;383.37;5.81
44;Peabody;7;2103;-70.977.500;42.323.700;24.7;24.7;0.15936;0.0;6.91;0;0.448;6.211;6.5;57.209;3;233;17.9;394.46;7.44
45;Peabody;7;2104;-70.967.500;42.317.000;21.2;21.2;0.12269;0.0;6.91;0;0.448;6.069;40.0;57.209;3;233;17.9;389.39;9.55
46;Peabody;7;2105;-70.972.500;42.307.500;19.3;19.3;0.17142;0.0;6.91;0;0.448;5.682;33.8;51.004;3;233;17.9;396.90;10.21
47;Peabody;7;2106;-70.965.000;42.307.500;20.0;20.0;0.18836;0.0;6.91;0;0.448;5.786;33.3;51.004;3;233;17.9;396.90;14.15
48;Peabody;7;2107;-70.956.000;42.312.500;16.6;16.6;0.22927;0.0;6.91;0;0.448;6.030;85.5;56.894;3;233;17.9;392.74;18.80
49;Peabody;7;2108;-70.955.000;42.316.500;14.4;14.4;0.25387;0.0;6.91;0;0.448;5.399;95.3;58.700;3;233;17.9;396.90;30.81
50;Peabody;7;2109;-70.952.500;42.320.800;19.4;19.4;0.21977;0.0;6.91;0;0.448;5.602;62.0;60.877;3;233;17.9;396.90;16.20
51;Danvers;8;2111;-70.951.000;42.334.000;19.7;19.7;0.08873;21.0;5.64;0;0.439;5.963;45.7;68.147;4;243;16.8;395.56;13.45
52;Danvers;8;2112;-70.963.000;42.338.200;20.5;20.5;0.04337;21.0;5.64;0;0.439;6.115;63.0;68.147;4;243;16.8;393.97;9.43
53;Danvers;8;2113;-70.958.000;42.346.000;25.0;25.0;0.05360;21.0;5.64;0;0.439;6.511;21.1;68.147;4;243;16.8;396.90;5.28
54;Danvers;8;2114;-70.978.000;42.342.500;23.4;23.4;0.04981;21.0;5.64;0;0.439;5.998;21.4;68.147;4;243;16.8;396.90;8.43
55;Middleton;9;2121;-71.017.500;42.371.500;18.9;18.9;0.01360;75.0;4;0;0.41;5.888;47.6;73.197;3;469;21.1;396.90;14.80
56;Topsfield;10;2141;-70.962.500;42.381.000;35.4;35.4;0.01311;90.0;1.22;0;0.403;7.249;21.9;86.966;5;226;17.9;395.93;4.81
57;Hamilton;11;2151;-70.930.000;42.374.000;24.7;24.7;0.02055;85.0;0.74;0;0.41;6.383;35.7;91.876;2;313;17.3;396.90;5.77
58;Wenham;12;2161;-70.929.500;42.371.500;31.6;31.6;0.01432;100.0;1.32;0;0.411;6.816;40.5;83.248;5;256;15.1;392.90;3.95
59;Beverly;13;2171;-70.938.500;42.346.000;23.3;23.3;0.15445;25.0;5.13;0;0.453;6.145;29.2;78.148;8;284;19.7;390.68;6.86
60;Beverly;13;2172;-70.940.000;42.332.000;19.6;19.6;0.10328;25.0;5.13;0;0.453;5.927;47.2;69.320;8;284;19.7;396.90;9.22
61;Beverly;13;2173;-70.930.000;42.337.000;18.7;18.7;0.14932;25.0;5.13;0;0.453;5.741;66.2;72.254;8;284;19.7;395.11;13.15
62;Beverly;13;2174;-70.930.000;42.327.500;16.0;16.0;0.17171;25.0;5.13;0;0.453;5.966;93.4;68.185;8;284;19.7;378.08;14.44
63;Beverly;13;2175;-70.921.500;42.332.000;22.2;22.2;0.11027;25.0;5.13;0;0.453;6.456;67.8;72.255;8;284;19.7;396.90;6.73
64;Beverly;13;2176;-70.907.500;42.339.000;25.0;25.0;0.12650;25.0;5.13;0;0.453;6.762;43.4;79.809;8;284;19.7;395.58;9.50
65;Manchester;14;2181;-70.860.000;42.345.000;33.0;33.0;0.01951;17.5;1.38;0;0.4161;7.104;59.5;92.229;3;216;18.6;393.24;8.05
66;North Reading;15;3301;-71.045.000;42.345.000;23.5;23.5;0.03584;80.0;3.37;0;0.398;6.290;17.8;66.115;4;337;16.1;396.90;4.67
67;North Reading;15;3302;-71.069.000;42.352.500;19.4;19.4;0.04379;80.0;3.37;0;0.398;5.787;31.1;66.115;4;337;16.1;396.90;10.24
68;Wilmington;16;3311;-71.090.000;42.336.200;22.0;22.0;0.05789;12.5;6.07;0;0.409;5.878;21.4;64.980;4;345;18.9;396.21;8.10
69;Wilmington;16;3312;-71.108.000;42.340.000;17.4;17.4;0.13554;12.5;6.07;0;0.409;5.594;36.8;64.980;4;345;18.9;396.90;13.09
70;Wilmington;16;3313;-71.111.000;42.327.000;20.9;20.9;0.12816;12.5;6.07;0;0.409;5.885;33.0;64.980;4;345;18.9;396.90;8.79
71;Burlington;17;3321;-71.121.000;42.316.000;24.2;24.2;0.08826;0.0;10.81;0;0.413;6.417;6.6;52.873;4;305;19.2;383.73;6.72
72;Burlington;17;3322;-71.109.500;42.300.800;21.7;21.7;0.15876;0.0;10.81;0;0.413;5.961;17.5;52.873;4;305;19.2;376.94;9.88
73;Burlington;17;3323;-71.130.000;42.305.000;22.8;22.8;0.09164;0.0;10.81;0;0.413;6.065;7.8;52.873;4;305;19.2;390.91;5.52
74;Burlington;17;3324;-71.123.000;42.292.000;23.4;23.4;0.19539;0.0;10.81;0;0.413;6.245;6.2;52.873;4;305;19.2;377.17;7.54
75;Woburn;18;3331;-71.110.500;42.289.000;24.1;24.1;0.07896;0.0;12.83;0;0.437;6.273;6.0;42.515;5;398;18.7;394.92;6.78
76;Woburn;18;3332;-71.100.000;42.287.500;21.4;21.4;0.09512;0.0;12.83;0;0.437;6.286;45.0;45.026;5;398;18.7;383.23;8.94
77;Woburn;18;3333;-71.090.000;42.283.500;20.0;20.0;0.10153;0.0;12.83;0;0.437;6.279;74.5;40.522;5;398;18.7;373.66;11.97
78;Woburn;18;3334;-71.076.000;42.289.500;20.8;20.8;0.08707;0.0;12.83;0;0.437;6.140;45.8;40.905;5;398;18.7;386.96;10.27
79;Woburn;18;3335;-71.090.500;42.295.000;21.2;21.2;0.05646;0.0;12.83;0;0.437;6.232;53.7;50.141;5;398;18.7;386.40;12.34
80;Woburn;18;3336;-71.091.000;42.305.000;20.3;20.3;0.08387;0.0;12.83;0;0.437;5.874;36.6;45.026;5;398;18.7;396.06;9.10
81;Reading;19;3341;-71.068.500;42.308.000;28.0;28.0;0.04113;25.0;4.86;0;0.426;6.727;33.5;54.007;4;281;19.0;396.90;5.29
82;Reading;19;3342;-71.069.000;42.315.000;23.9;23.9;0.04462;25.0;4.86;0;0.426;6.619;70.4;54.007;4;281;19.0;395.63;7.22
83;Reading;19;3343;-71.067.500;42.326.000;24.8;24.8;0.03659;25.0;4.86;0;0.426;6.302;32.2;54.007;4;281;19.0;396.90;6.72
84;Reading;19;3344;-71.057.500;42.317.000;22.9;22.9;0.03551;25.0;4.86;0;0.426;6.167;46.7;54.007;4;281;19.0;390.64;7.51
85;Wakefield;20;3351;-71.043.000;42.307.500;23.9;23.9;0.05059;0.0;4.49;0;0.449;6.389;48.0;47.794;3;247;18.5;396.90;9.62
86;Wakefield;20;3352;-71.050.000;42.300.000;26.6;26.6;0.05735;0.0;4.49;0;0.449;6.630;56.1;44.377;3;247;18.5;392.30;6.53
87;Wakefield;20;3353;-71.033.000;42.305.000;22.5;22.5;0.05188;0.0;4.49;0;0.449;6.015;45.1;44.272;3;247;18.5;395.99;12.86
88;Wakefield;20;3354;-71.039.000;42.288.500;22.2;22.2;0.07151;0.0;4.49;0;0.449;6.121;56.8;37.476;3;247;18.5;395.15;8.44
89;Melrose;21;3361;-71.042.000;42.279.600;23.6;23.6;0.05660;0.0;3.41;0;0.489;7.007;86.3;34.217;2;270;17.8;396.90;5.50
90;Melrose;21;3362;-71.034.500;42.278.500;28.7;28.7;0.05302;0.0;3.41;0;0.489;7.079;63.1;34.145;2;270;17.8;396.06;5.70
91;Melrose;21;3363;-71.030.000;42.272.000;22.6;22.6;0.04684;0.0;3.41;0;0.489;6.417;66.1;30.923;2;270;17.8;392.18;8.81
92;Melrose;21;3364;-71.042.500;42.271.500;22.0;22.0;0.03932;0.0;3.41;0;0.489;6.405;73.9;30.921;2;270;17.8;393.55;8.20
93;Stoneham;22;3371;-71.053.000;42.283.000;22.9;22.9;0.04203;28.0;15.04;0;0.464;6.442;53.6;36.659;4;270;18.2;395.01;8.16
94;Stoneham;22;3372;-71.062.000;42.296.000;25.0;25.0;0.02875;28.0;15.04;0;0.464;6.211;28.9;36.659;4;270;18.2;396.33;6.21
95;Stoneham;22;3373;-71.061.500;42.284.000;20.6;20.6;0.04294;28.0;15.04;0;0.464;6.249;77.3;36.150;4;270;18.2;396.90;10.59
96;Winchester;23;3381;-71.076.000;42.277.500;28.4;28.4;0.12204;0.0;2.89;0;0.445;6.625;57.8;34.952;2;276;18.0;357.98;6.65
97;Winchester;23;3382;-71.085.000;42.277.500;21.4;21.4;0.11504;0.0;2.89;0;0.445;6.163;69.6;34.952;2;276;18.0;391.83;11.34
98;Winchester;23;3383;-71.089.000;42.271.500;38.7;38.7;0.12083;0.0;2.89;0;0.445;8.069;76.0;34.952;2;276;18.0;396.90;4.21
99;Winchester;23;3384;-71.098.200;42.268.500;43.8;43.8;0.08187;0.0;2.89;0;0.445;7.820;36.9;34.952;2;276;18.0;393.53;3.57
100;Winchester;23;3385;-71.080.000;42.268.000;33.2;33.2;0.06860;0.0;2.89;0;0.445;7.416;62.5;34.952;2;276;18.0;396.90;6.19
101;Medford;24;3391;-71.066.800;42.254.500;27.5;27.5;0.14866;0.0;8.56;0;0.52;6.727;79.9;27.778;5;384;20.9;394.76;9.42
102;Medford;24;3392;-71.081.000;42.245.000;26.5;26.5;0.11432;0.0;8.56;0;0.52;6.781;71.3;28.561;5;384;20.9;395.58;7.67
103;Medford;24;3393;-71.081.200;42.251.500;18.6;18.6;0.22876;0.0;8.56;0;0.52;6.405;85.4;27.147;5;384;20.9;70.80;10.63
104;Medford;24;3394;-71.077.000;42.249.000;19.3;19.3;0.21161;0.0;8.56;0;0.52;6.137;87.4;27.147;5;384;20.9;394.47;13.44
105;Medford;24;3395;-71.069.000;42.248.000;20.1;20.1;0.13960;0.0;8.56;0;0.52;6.167;90.0;24.210;5;384;20.9;392.69;12.33
106;Medford;24;3396;-71.066.200;42.242.500;19.5;19.5;0.13262;0.0;8.56;0;0.52;5.851;96.7;21.069;5;384;20.9;394.05;16.47
107;Medford;24;3397;-71.062.200;42.243.100;19.5;19.5;0.17120;0.0;8.56;0;0.52;5.836;91.9;22.110;5;384;20.9;395.67;18.66
108;Medford;24;3398;-71.055.300;42.246.500;20.4;20.4;0.13117;0.0;8.56;0;0.52;6.127;85.2;21.224;5;384;20.9;387.69;14.09
109;Medford;24;3399;-71.055.000;42.250.500;19.8;19.8;0.12802;0.0;8.56;0;0.52;6.474;97.1;24.329;5;384;20.9;395.24;12.27
110;Medford;24;3400;-71.060.000;42.254.000;19.4;19.4;0.26363;0.0;8.56;0;0.52;6.229;91.2;25.451;5;384;20.9;391.23;15.55
111;Medford;24;3401;-71.056.000;42.260.500;21.7;21.7;0.10793;0.0;8.56;0;0.52;6.195;54.4;27.778;5;384;20.9;393.49;13.00
112;Malden;25;3411;-71.047.500;42.261.000;22.8;22.8;0.10084;0.0;10.01;0;0.547;6.715;81.6;26.775;6;432;17.8;395.59;10.16
113;Malden;25;3412;-71.049.000;42.253.000;18.8;18.8;0.12329;0.0;10.01;0;0.547;5.913;92.9;23.534;6;432;17.8;394.95;16.21
114;Malden;25;3413;-71.042.800;42.258.000;18.7;18.7;0.22212;0.0;10.01;0;0.547;6.092;95.4;25.480;6;432;17.8;396.90;17.09
115;Malden;25;3414;-71.039.600;42.251.200;18.5;18.5;0.14231;0.0;10.01;0;0.547;6.254;84.2;22.565;6;432;17.8;388.74;10.45
116;Malden;25;3415;-71.035.500;42.254.500;18.3;18.3;0.17134;0.0;10.01;0;0.547;5.928;88.2;24.631;6;432;17.8;344.91;15.76
117;Malden;25;3416;-71.036.000;42.260.800;21.2;21.2;0.13158;0.0;10.01;0;0.547;6.176;72.5;27.301;6;432;17.8;393.30;12.04
118;Malden;25;3417;-71.028.500;42.262.000;19.2;19.2;0.15098;0.0;10.01;0;0.547;6.021;82.6;27.474;6;432;17.8;394.51;10.30
119;Malden;25;3418;-71.028.500;42.258.000;20.4;20.4;0.13058;0.0;10.01;0;0.547;5.872;73.1;24.775;6;432;17.8;338.63;15.37
120;Malden;25;3419;-71.019.000;42.260.500;19.3;19.3;0.14476;0.0;10.01;0;0.547;5.731;65.2;27.592;6;432;17.8;391.50;13.61
121;Everett;26;3421;-71.024.300;42.248.300;22.0;22.0;0.06899;0.0;25.65;0;0.581;5.870;69.7;22.577;2;188;19.1;389.15;14.37
122;Everett;26;3422;-71.031.200;42.250.500;20.3;20.3;0.07165;0.0;25.65;0;0.581;6.004;84.1;21.974;2;188;19.1;377.67;14.27
123;Everett;26;3423;-71.037.700;42.247.000;20.5;20.5;0.09299;0.0;25.65;0;0.581;5.961;92.9;20.869;2;188;19.1;378.09;17.93
124;Everett;26;3424;-71.037.000;42.243.500;17.3;17.3;0.15038;0.0;25.65;0;0.581;5.856;97.0;19.444;2;188;19.1;370.31;25.41
125;Everett;26;3425;-71.030.800;42.245.000;18.8;18.8;0.09849;0.0;25.65;0;0.581;5.879;95.8;20.063;2;188;19.1;379.38;17.58
126;Everett;26;3426;-71.026.200;42.243.100;21.4;21.4;0.16902;0.0;25.65;0;0.581;5.986;88.4;19.929;2;188;19.1;385.02;14.81
127;Everett;26;3427;-71.033.300;42.239.500;15.7;15.7;0.38735;0.0;25.65;0;0.581;5.613;95.6;17.572;2;188;19.1;359.29;27.26
128;Somerville;27;3501;-71.053.000;42.235.500;16.2;16.2;0.25915;0.0;21.89;0;0.624;5.693;96.0;17.883;4;437;21.2;392.11;17.19
129;Somerville;27;3502;-71.058.000;42.235.000;18.0;18.0;0.32543;0.0;21.89;0;0.624;6.431;98.8;18.125;4;437;21.2;396.90;15.39
130;Somerville;27;3503;-71.063.800;42.236.800;14.3;14.3;0.88125;0.0;21.89;0;0.624;5.637;94.7;19.799;4;437;21.2;396.90;18.34
131;Somerville;27;3504;-71.069.200;42.239.000;19.2;19.2;0.34006;0.0;21.89;0;0.624;6.458;98.9;21.185;4;437;21.2;395.04;12.60
132;Somerville;27;3505;-71.075.000;42.240.000;19.6;19.6;119.294;0.0;21.89;0;0.624;6.326;97.7;22.710;4;437;21.2;396.90;12.26
133;Somerville;27;3506;-71.074.500;42.240.500;23.0;23.0;0.59005;0.0;21.89;0;0.624;6.372;97.9;23.274;4;437;21.2;385.76;11.12
134;Somerville;27;3507;-71.079.000;42.245.000;18.4;18.4;0.32982;0.0;21.89;0;0.624;5.822;95.4;24.699;4;437;21.2;388.69;15.03
135;Somerville;27;3508;-71.076.000;42.240.500;15.6;15.6;0.97617;0.0;21.89;0;0.624;5.757;98.4;23.460;4;437;21.2;262.76;17.31
136;Somerville;27;3509;-71.075.000;42.236.200;18.1;18.1;0.55778;0.0;21.89;0;0.624;6.335;98.2;21.107;4;437;21.2;394.67;16.96
137;Somerville;27;3510;-71.067.700;42.233.500;17.4;17.4;0.32264;0.0;21.89;0;0.624;5.942;93.5;19.669;4;437;21.2;378.25;16.90
138;Somerville;27;3511;-71.063.000;42.232.500;17.1;17.1;0.35233;0.0;21.89;0;0.624;6.454;98.4;18.498;4;437;21.2;394.08;14.59
139;Somerville;27;3512;-71.062.000;42.227.500;13.3;13.3;0.24980;0.0;21.89;0;0.624;5.857;98.2;16.686;4;437;21.2;392.04;21.32
140;Somerville;27;3513;-71.056.800;42.230.000;17.8;17.8;0.54452;0.0;21.89;0;0.624;6.151;97.9;16.687;4;437;21.2;396.90;18.46
141;Somerville;27;3514;-71.051.800;42.231.200;14.0;14.0;0.29090;0.0;21.89;0;0.624;6.174;93.6;16.119;4;437;21.2;388.08;24.16
142;Somerville;27;3515;-71.054.300;42.226.500;14.4;14.4;162.864;0.0;21.89;0;0.624;5.019;100.0;14.394;4;437;21.2;396.90;34.41
143;Cambridge;28;3521;-71.048.000;42.222.200;13.4;13.4;332.105;0.0;19.58;1;0.871;5.403;100.0;13.216;5;403;14.7;396.90;26.82
144;Cambridge;28;3522;-71.051.900;42.223.000;15.6;15.6;409.740;0.0;19.58;0;0.871;5.468;100.0;14.118;5;403;14.7;396.90;26.42
145;Cambridge;28;3523;-71.051.000;42.220.500;11.8;11.8;277.974;0.0;19.58;0;0.871;4.903;97.8;13.459;5;403;14.7;396.90;29.29
146;Cambridge;28;3524;-71.054.000;42.219.000;13.8;13.8;237.934;0.0;19.58;0;0.871;6.130;100.0;14.191;5;403;14.7;172.91;27.80
147;Cambridge;28;3525;-71.059.000;42.221.000;15.6;15.6;215.505;0.0;19.58;0;0.871;5.628;100.0;15.166;5;403;14.7;169.27;16.65
148;Cambridge;28;3526;-71.055.500;42.222.200;14.6;14.6;236.862;0.0;19.58;0;0.871;4.926;95.7;14.608;5;403;14.7;391.71;29.53
149;Cambridge;28;3527;-71.056.700;42.224.000;17.8;17.8;233.099;0.0;19.58;0;0.871;5.186;93.8;15.296;5;403;14.7;356.99;28.32
150;Cambridge;28;3528;-71.058.000;42.223.000;15.4;15.4;273.397;0.0;19.58;0;0.871;5.597;94.9;15.257;5;403;14.7;351.85;21.45
151;Cambridge;28;3529;-71.062.000;42.223.600;21.5;21.5;165.660;0.0;19.58;0;0.871;6.122;97.3;16.180;5;403;14.7;372.80;14.10
152;Cambridge;28;3530;-71.062.200;42.220.500;19.6;19.6;149.632;0.0;19.58;0;0.871;5.404;100.0;15.916;5;403;14.7;341.60;13.28
153;Cambridge;28;3531;-71.059.000;42.217.000;15.3;15.3;112.658;0.0;19.58;1;0.871;5.012;88.0;16.102;5;403;14.7;343.28;12.12
154;Cambridge;28;3532;-71.064.500;42.215.000;19.4;19.4;214.918;0.0;19.58;0;0.871;5.709;98.5;16.232;5;403;14.7;261.95;15.79
155;Cambridge;28;3533;-71.066.200;42.216.200;17.0;17.0;141.385;0.0;19.58;1;0.871;6.129;96.0;17.494;5;403;14.7;321.02;15.12
156;Cambridge;28;3534;-71.068.000;42.215.000;15.6;15.6;353.501;0.0;19.58;1;0.871;6.152;82.6;17.455;5;403;14.7;88.01;15.02
157;Cambridge;28;3535;-71.066.700;42.220.000;13.1;13.1;244.668;0.0;19.58;0;0.871;5.272;94.0;17.364;5;403;14.7;88.63;16.14
158;Cambridge;28;3536;-71.069.000;42.228.500;41.3;41.3;122.358;0.0;19.58;0;0.605;6.943;97.4;18.773;5;403;14.7;363.43;4.59
159;Cambridge;28;3537;-71.067.000;42.224.500;24.3;24.3;134.284;0.0;19.58;0;0.605;6.066;100.0;17.573;5;403;14.7;353.89;6.43
160;Cambridge;28;3538;-71.065.000;42.222.300;23.3;23.3;142.502;0.0;19.58;0;0.871;6.510;100.0;17.659;5;403;14.7;364.31;7.39
161;Cambridge;28;3539;-71.070.000;42.221.400;27.0;27.0;127.346;0.0;19.58;1;0.605;6.250;92.6;17.984;5;403;14.7;338.92;5.50
162;Cambridge;28;3540;-71.073.500;42.228.200;50.0;50.0;146.336;0.0;19.58;0;0.605;7.489;90.8;19.709;5;403;14.7;374.43;1.73
163;Cambridge;28;3541;-71.077.000;42.225.000;50.0;50.0;183.377;0.0;19.58;1;0.605;7.802;98.2;20.407;5;403;14.7;389.61;1.92
164;Cambridge;28;3542;-71.081.500;42.225.000;50.0;50.0;151.902;0.0;19.58;1;0.605;8.375;93.9;21.620;5;403;14.7;388.45;3.32
165;Cambridge;28;3543;-71.091.800;42.226.500;22.7;22.7;224.236;0.0;19.58;0;0.605;5.854;91.8;24.220;5;403;14.7;395.11;11.64
166;Cambridge;28;3544;-71.082.000;42.229.500;25.0;25.0;292.400;0.0;19.58;0;0.605;6.101;93.0;22.834;5;403;14.7;240.16;9.81
167;Cambridge;28;3545;-71.077.000;42.230.500;50.0;50.0;201.019;0.0;19.58;0;0.605;7.929;96.2;20.459;5;403;14.7;369.30;3.70
168;Cambridge;28;3546;-71.086.600;42.234.500;23.8;23.8;180.028;0.0;19.58;0;0.605;5.877;79.2;24.259;5;403;14.7;227.61;12.14
169;Cambridge;28;3547;-71.074.000;42.233.100;23.8;23.8;230.040;0.0;19.58;0;0.605;6.319;96.1;21.000;5;403;14.7;297.09;11.10
170;Cambridge;28;3548;-71.077.500;42.235.100;22.3;22.3;244.953;0.0;19.58;0;0.605;6.402;95.2;22.625;5;403;14.7;330.04;11.32
171;Cambridge;28;3549;-71.081.000;42.236.800;17.4;17.4;120.742;0.0;19.58;0;0.605;5.875;94.6;24.259;5;403;14.7;292.29;14.43
172;Cambridge;28;3550;-71.079.200;42.239.000;19.1;19.1;231.390;0.0;19.58;0;0.605;5.880;97.3;23.887;5;403;14.7;348.13;12.03
